timestamp,acc_x,acc_y,acc_z
8260,10.21606,-0.215478,0.268151
8280,10.23042,-0.229843,0.253785
8300,10.23282,-0.217872,0.234632
8320,10.21366,-0.174777,0.270545
8340,10.23282,-0.220267,0.246603
8360,10.24239,-0.215478,0.28491
8380,10.20648,-0.169988,0.260968
8400,10.23521,-0.251391,0.222661
8420,10.24,-0.215478,0.260968
8440,10.22803,-0.229843,0.246603
8460,10.24239,-0.222661,0.270545
8480,10.23042,-0.23942,0.244209
8500,10.22564,-0.1652,0.299275
8520,10.22564,-0.234632,0.208296
8540,10.25197,-0.191536,0.280122
8560,10.21606,-0.203507,0.220267
8580,10.23521,-0.217872,0.265756
8600,10.23521,-0.23942,0.232238
8620,10.22324,-0.189142,0.268151
8640,10.21606,-0.234632,0.23942
8660,10.25197,-0.227449,0.287304
8680,10.22324,-0.205901,0.222661
8700,10.24,-0.225055,0.287304
8720,10.23042,-0.232238,0.251391
8740,10.22085,-0.215478,0.246603
8760,10.24479,-0.222661,0.253785
8780,10.24479,-0.241814,0.237026
8800,10.21845,-0.179565,0.225055
8820,10.24,-0.234632,0.23942
8840,10.24958,-0.203507,0.280122
8860,10.24239,-0.225055,0.248997
8880,10.23761,-0.162806,0.244209
8900,10.23042,-0.232238,0.241814
8920,10.21127,-0.177171,0.287304
8940,10.21606,-0.229843,0.215478
8960,10.25915,-0.21069,0.23942
8980,10.21606,-0.225055,0.23942
9000,10.22324,-0.189142,0.272939
9020,10.22564,-0.227449,0.217872
9040,10.20169,-0.184354,0.275333
9060,10.21366,-0.217872,0.229843
9080,10.24,-0.237026,0.23942
9100,10.21127,-0.167594,0.25618
9120,10.24239,-0.217872,0.241814
9140,10.25437,-0.222661,0.260968
9160,10.23282,-0.203507,0.217872
9180,10.20888,-0.21069,0.25618
9200,10.23761,-0.265756,0.232238
9220,10.22085,-0.198719,0.23942
9240,10.20648,-0.225055,0.248997
9260,10.24718,-0.222661,0.289698
9280,10.21845,-0.229843,0.25618
9300,10.23282,-0.184354,0.282516
9320,10.23761,-0.248997,0.251391
9340,10.22564,-0.196325,0.294487
9360,10.22085,-0.208296,0.246603
9380,10.23042,-0.215478,0.260968
9400,10.22324,-0.217872,0.265756
9420,10.24239,-0.186748,0.272939
9440,10.22564,-0.220267,0.258574
9460,10.24958,-0.220267,0.241814
9480,10.20648,-0.189142,0.263362
9500,10.24958,-0.222661,0.227449
9520,10.24718,-0.196325,0.246603
9540,10.24,-0.205901,0.227449
9560,10.22803,-0.215478,0.272939
9580,10.25437,-0.253785,0.244209
9600,10.22085,-0.160412,0.270545
9620,10.24479,-0.241814,0.203507
9640,10.23042,-0.205901,0.268151
9660,10.21606,-0.217872,0.23942
9680,10.23761,-0.21069,0.268151
9700,10.25915,-0.241814,0.244209
9720,10.22085,-0.172383,0.277727
9740,10.21606,-0.215478,0.258574
9760,10.23282,-0.215478,0.253785
9780,10.23282,-0.198719,0.232238
9800,10.21606,-0.205901,0.258574
9820,10.22324,-0.232238,0.260968
9840,10.23282,-0.198719,0.25618
9860,10.23521,-0.189142,0.251391
9880,10.24718,-0.263362,0.246603
9900,10.24,-0.203507,0.265756
9920,10.23042,-0.225055,0.229843
9940,10.23521,-0.205901,0.268151
9960,10.24479,-0.237026,0.246603
9980,10.21845,-0.184354,0.268151
10000,10.22803,-0.244209,0.220267
10020,10.21845,-0.196325,0.268151
10040,10.23761,-0.251391,0.23942
10060,10.1993,-0.189142,0.263362
10080,10.23282,-0.23942,0.225055
10100,10.22324,-0.189142,0.260968
10120,10.20888,-0.217872,0.23942
10140,10.25437,-0.215478,0.260968
10160,10.22803,-0.251391,0.248997
10180,10.22803,-0.19393,0.248997
10200,10.23282,-0.222661,0.234632
10220,10.23042,-0.21069,0.270545
10240,10.19451,-0.201113,0.258574
10260,10.23282,-0.215478,0.263362
10280,10.22803,-0.217872,0.289698
10300,10.23282,-0.196325,0.275333
10320,10.23282,-0.213084,0.270545
10340,10.24,-0.265756,0.213084
10360,10.23282,-0.196325,0.258574
10380,10.24,-0.227449,0.244209
10400,10.23042,-0.217872,0.277727
10420,10.22803,-0.232238,0.260968
10440,10.22803,-0.158017,0.263362
10460,10.25197,-0.244209,0.225055
10480,10.25197,-0.201113,0.294487
10500,10.22085,-0.215478,0.251391
10520,10.22564,-0.203507,0.296881
10540,10.24239,-0.229843,0.227449
10560,10.23042,-0.191536,0.282516
10580,10.21845,-0.21069,0.225055
